doc_id,unit_id,question,sub_answer,verbatim_quote,quote_verified,model,run_id
2024-01-18_STRAT_CDDO_GenerativeAIFramework,2024-01-18_STRAT_CDDO_GenerativeAIFramework::s47,BENEFICIARY,beneficiary=taxpayers; noun_used=taxpayers,"If possible collect metrics to help to estimate any efficiency savings, value to your business and to taxpayers and the return on investment.",True,kimi-k3:cloud,6c67d943-17cb-4e09-b91e-150fe1c149de
2024-01-18_STRAT_CDDO_GenerativeAIFramework,2024-01-18_STRAT_CDDO_GenerativeAIFramework::s47,MECHANISM,"mechanism=efficiency savings / value for money; how_it_works=Metrics collected as part of reporting data are used to estimate efficiency savings, business and taxpayer value, and return on investment from generative AI.","If possible collect metrics to help to estimate any efficiency savings, value to your business and to taxpayers and the return on investment.",True,kimi-k3:cloud,6c67d943-17cb-4e09-b91e-150fe1c149de
2024-01-18_STRAT_CDDO_GenerativeAIFramework,2024-01-18_STRAT_CDDO_GenerativeAIFramework::s47,MECHANISM,mechanism=cost-effectiveness (FinOps); how_it_works=Close monitoring of the running costs of generative AI solutions ensures continued cost-effective operation for the chosen model and prompts.,"the cost of running your generative AI solutions should be monitored closely to ensure you continue to operate cost-effectively, for the given model and prompts.",True,kimi-k3:cloud,6c67d943-17cb-4e09-b91e-150fe1c149de
2024-01-18_STRAT_CDDO_GenerativeAIFramework,2024-01-18_STRAT_CDDO_GenerativeAIFramework::s47,MECHANISM,mechanism=improved system performance and reliability; how_it_works=Grounding data and logged testing/operational data are fed back into the system to improve and maintain the performance and reliability of the AI.,"When collected during testing and development, this information will be used to improve the performance of the system.",True,kimi-k3:cloud,6c67d943-17cb-4e09-b91e-150fe1c149de
2024-01-18_STRAT_CDDO_GenerativeAIFramework,2024-01-18_STRAT_CDDO_GenerativeAIFramework::s47,MECHANISM,"mechanism=service quality improvement via user feedback; how_it_works=Collecting user feedback and metrics on performance, ease of use and problematic behaviour enables control and improvement of the AI system.","Collecting and storing metrics such as performance, ease of use and occurrences of problematic behaviour (including hallucinations and potential biases etc) helps to control and improve the AI system.",True,kimi-k3:cloud,6c67d943-17cb-4e09-b91e-150fe1c149de
2024-01-18_STRAT_CDDO_GenerativeAIFramework,2024-01-18_STRAT_CDDO_GenerativeAIFramework::s47,PROJECTED_FUTURE,future=Generative AI systems whose performance is continually improved through the logging of testing and development data.; temporal_marker=will,"When collected during testing and development, this information will be used to improve the performance of the system.",True,kimi-k3:cloud,6c67d943-17cb-4e09-b91e-150fe1c149de
2024-01-18_STRAT_CDDO_GenerativeAIFramework,2024-01-18_STRAT_CDDO_GenerativeAIFramework::s47,PROJECTED_FUTURE,future=AI systems in live use whose performance is continuously monitored and maintained.; temporal_marker=will,"When collected during use, it will be used to monitor and maintain performance.",True,kimi-k3:cloud,6c67d943-17cb-4e09-b91e-150fe1c149de
2024-01-18_STRAT_CDDO_GenerativeAIFramework,2024-01-18_STRAT_CDDO_GenerativeAIFramework::s47,PROJECTED_FUTURE,future=AI systems that are progressively controlled and improved through collected user feedback metrics.; temporal_marker=none,"Collecting and storing metrics such as performance, ease of use and occurrences of problematic behaviour (including hallucinations and potential biases etc) helps to control and improve the AI system.",True,kimi-k3:cloud,6c67d943-17cb-4e09-b91e-150fe1c149de
2024-01-18_STRAT_CDDO_GenerativeAIFramework,2024-01-18_STRAT_CDDO_GenerativeAIFramework::s47,PROJECTED_FUTURE,future=AI adoption that delivers measurable efficiency savings and value to taxpayers.; temporal_marker=none,"If possible collect metrics to help to estimate any efficiency savings, value to your business and to taxpayers and the return on investment.",True,kimi-k3:cloud,6c67d943-17cb-4e09-b91e-150fe1c149de
2024-01-18_STRAT_CDDO_GenerativeAIFramework,2024-01-18_STRAT_CDDO_GenerativeAIFramework::s47,PROJECTED_FUTURE,future=Continued cost-effective operation of generative AI solutions.; temporal_marker=continue to,"the cost of running your generative AI solutions should be monitored closely to ensure you continue to operate cost-effectively, for the given model and prompts.",True,kimi-k3:cloud,6c67d943-17cb-4e09-b91e-150fe1c149de
